"","width","SRR1532959","SRR1532960","SRR1532961","SRR1532962","SRR1532963","SRR1532964"
"WBGene00000101",4279,301,146,403,278,736,625
"WBGene00000102",2278,292,107,456,188,652,390
"WBGene00000103",2381,4,2,4,9,15,10
"WBGene00000105",6696,37,11,47,20,69,50
"WBGene00000106",4142,161,92,103,64,117,110
"WBGene00000107",1890,111,94,125,105,310,285
"WBGene00000108",1641,0,0,0,0,0,0
"WBGene00000109",2864,7,12,8,11,14,29
"WBGene00000110",2304,100,101,132,75,191,165
"WBGene00000111",1383,0,0,1,0,0,1
"WBGene00000112",2511,24,27,32,25,63,58
"WBGene00000113",1756,11,10,9,5,22,28
"WBGene00000114",1771,128,81,130,112,292,274
"WBGene00000115",1966,32,34,69,57,81,69
"WBGene00000116",1654,0,0,0,0,0,0
"WBGene00000117",2213,8,10,22,17,44,26
"WBGene00000118",1621,0,0,1,0,0,1
"WBGene00000120",774,13,21,24,7,41,39
"WBGene00000121",786,416,363,557,331,1161,906
"WBGene00000122",1381,163,199,326,200,614,450
"WBGene00000123",6020,194,145,245,144,470,415
"WBGene00000133",1739,0,0,0,0,0,0
"WBGene00000134",1754,0,0,0,0,0,0
"WBGene00000135",2384,2,0,1,2,0,0
"WBGene00000136",2110,0,0,0,0,0,0
"WBGene00000137",2641,76,19,78,46,115,96
"WBGene00000138",2356,0,0,0,0,0,1
"WBGene00000139",1756,0,0,0,0,0,0
"WBGene00000140",25894,0,0,0,0,1,5
"WBGene00000142",1242,146,109,230,117,399,275
"WBGene00000143",2312,99,29,164,86,319,216
"WBGene00000144",737,26,26,24,26,71,60
"WBGene00000145",469,28,42,60,38,113,98
"WBGene00000146",2754,593,179,761,270,1066,498
"WBGene00000147",1104,70,54,109,40,165,83
"WBGene00000148",2384,72,4,67,35,110,78
"WBGene00000149",2741,0,0,2,3,4,9
"WBGene00000150",1602,3,1,2,2,6,6
"WBGene00000151",1237,55,22,76,58,169,159
"WBGene00000155",2097,384,233,461,288,778,578
"WBGene00000156",3907,185,63,244,149,360,330
"WBGene00000157",564,30,33,59,31,94,61
"WBGene00000158",3020,26,28,38,29,79,102
"WBGene00000159",615,23,21,29,16,44,61
"WBGene00000160",3115,46,43,47,53,105,108
"WBGene00000161",3246,62,17,74,32,103,61
"WBGene00000162",4129,77,28,89,38,207,186
"WBGene00000163",2945,149,50,214,146,331,300
"WBGene00000164",1413,33,17,43,13,46,46
"WBGene00000165",1467,27,25,31,18,49,49
"WBGene00000166",2276,0,0,0,0,0,0
"WBGene00000168",2766,47,42,75,51,111,134
"WBGene00000169",1032,0,0,0,0,0,0
"WBGene00000170",1426,0,0,2,1,9,6
"WBGene00000171",1449,0,0,0,0,0,1
"WBGene00000172",1076,0,0,0,0,0,0
"WBGene00000173",1038,0,0,0,0,0,0
"WBGene00000174",1187,0,0,0,0,0,1
"WBGene00000175",1239,0,0,0,0,1,0
"WBGene00000176",1714,0,0,0,0,0,0
"WBGene00000177",982,1,0,1,1,0,1
"WBGene00000178",983,14,25,38,19,43,62
"WBGene00000179",900,0,7,10,2,7,4
"WBGene00000180",1710,3,3,8,10,23,22
"WBGene00000181",936,108,128,120,73,224,194
"WBGene00000182",1308,327,290,389,230,473,377
"WBGene00000183",940,312,272,308,188,581,447
"WBGene00000184",639,2,2,4,4,11,8
"WBGene00000185",1074,0,0,0,0,0,0
"WBGene00000186",3580,52,13,34,25,86,54
"WBGene00000187",976,27,19,40,24,63,62
"WBGene00000188",1586,0,0,0,0,1,0
"WBGene00000189",706,14,12,21,17,55,38
"WBGene00000190",730,0,0,1,0,0,0
"WBGene00000191",525,0,0,0,0,0,0
"WBGene00000192",984,211,185,284,196,470,406
"WBGene00000193",1417,0,0,0,0,0,0
"WBGene00000195",1530,46,49,61,32,104,92
"WBGene00000196",2983,6,2,6,5,11,17
"WBGene00000197",3126,459,322,457,310,708,686
"WBGene00000198",1059,201,155,237,100,428,303
"WBGene00000199",1598,73,54,69,60,141,146
"WBGene00000200",1506,134,125,126,98,216,166
"WBGene00000201",1401,118,110,126,83,238,235
"WBGene00000202",1764,30,28,32,18,75,53
"WBGene00000203",693,53,55,55,53,143,126
"WBGene00000204",756,35,62,20,34,93,107
"WBGene00000205",640,42,66,71,45,141,120
"WBGene00000206",1026,222,287,284,221,601,501
"WBGene00000207",1181,48,48,53,25,94,102
"WBGene00000208",1339,36,23,43,33,92,58
"WBGene00000209",476,97,194,122,100,299,243
"WBGene00000210",497,33,67,68,36,109,114
"WBGene00000211",1790,5,6,6,6,13,4
"WBGene00000212",1933,0,0,0,0,0,0
"WBGene00000213",1912,0,0,0,0,0,0
"WBGene00000214",1191,0,0,0,0,0,0
"WBGene00000215",1381,1,1,1,1,0,0
"WBGene00000216",1462,0,0,0,0,0,0
"WBGene00000217",1460,1,1,0,0,0,1
"WBGene00000218",1240,0,1,0,0,0,0
"WBGene00000219",1275,0,1,0,0,0,0
"WBGene00000220",1408,0,0,0,0,0,1
"WBGene00000221",1087,0,0,0,0,0,4
"WBGene00000222",2402,20,4,41,21,52,37
"WBGene00000223",2714,93,118,99,120,204,312
"WBGene00000224",1965,0,2,6,6,7,5
"WBGene00000225",2230,24,7,26,8,32,27
"WBGene00000226",7769,59,17,57,38,94,88
"WBGene00000227",7581,23,7,25,18,54,38
"WBGene00000228",3253,10,4,3,4,11,8
"WBGene00000229",1929,2261,2327,3105,2314,4459,4338
"WBGene00000230",1033,301,396,480,306,804,734
"WBGene00000231",3860,100,83,41,32,82,92
"WBGene00000232",2702,2,0,1,0,2,3
"WBGene00000233",2372,0,1,2,1,5,1
"WBGene00000235",540,111,185,192,148,332,314
"WBGene00000236",717,46,50,72,41,194,111
"WBGene00000237",3441,4,1,4,3,7,4
"WBGene00000238",2592,0,0,0,0,0,0
"WBGene00000239",1644,0,0,0,0,0,0
"WBGene00000240",1708,0,0,1,0,0,0
"WBGene00000241",1984,0,0,0,0,0,0
"WBGene00000242",2330,0,0,0,0,0,0
"WBGene00000244",1719,0,0,0,0,0,0
"WBGene00000245",1085,3,9,13,12,18,14
"WBGene00000246",2056,0,0,0,0,0,0
"WBGene00000247",1335,10,15,25,19,19,28
"WBGene00000248",2065,9,11,16,4,54,46
"WBGene00000249",673,43,64,91,43,142,114
"WBGene00000250",1044,54,31,44,34,104,84
"WBGene00000251",3010,0,0,0,0,0,0
"WBGene00000252",994,0,0,0,0,0,0
"WBGene00000253",5185,1,1,7,2,15,4
"WBGene00000254",7570,356,177,392,271,567,452
"WBGene00000255",747,4,4,6,6,17,14
"WBGene00000256",996,0,0,0,0,0,0
"WBGene00000257",3097,103,52,116,99,227,195
"WBGene00000259",3844,2,3,5,7,7,32
"WBGene00000262",870,4,8,19,9,31,20
"WBGene00000263",461,113,204,175,114,296,253
"WBGene00000264",1976,14,9,39,27,70,65
"WBGene00000265",2186,51,28,119,88,172,141
"WBGene00000266",1796,2,3,0,1,4,0
"WBGene00000267",1342,1,0,0,0,0,0
"WBGene00000268",2208,93,48,156,96,185,206
"WBGene00000269",1479,14,15,29,20,41,44
"WBGene00000270",1070,23,18,39,21,96,42
"WBGene00000271",2618,121,52,213,129,297,222
"WBGene00000272",1142,0,0,0,0,0,0
"WBGene00000273",1804,1,0,0,0,2,1
"WBGene00000274",5229,28,28,45,29,106,60
"WBGene00000275",3062,225,126,268,187,510,333
"WBGene00000276",1563,66,63,67,65,124,147
"WBGene00000277",2012,0,0,1,0,3,14
"WBGene00000279",1112,2,3,1,1,4,3
"WBGene00000280",1198,0,0,0,0,0,0
"WBGene00000281",1080,0,0,0,0,0,0
"WBGene00000282",1135,0,0,0,0,0,0
"WBGene00000283",1091,0,0,0,0,0,0
"WBGene00000284",1438,0,0,0,0,0,0
"WBGene00000285",871,0,0,0,0,0,0
"WBGene00000286",756,0,0,0,0,0,1
"WBGene00000287",901,0,0,0,0,0,1
"WBGene00000288",1643,0,0,0,0,0,2
"WBGene00000289",3321,208,109,248,156,335,270
"WBGene00000292",1131,192,133,294,164,444,268
"WBGene00000293",1260,155,112,218,128,387,333
"WBGene00000294",4723,84,56,103,65,147,123
"WBGene00000295",2008,0,0,0,0,0,0
"WBGene00000296",2434,0,0,0,0,0,0
"WBGene00000298",913,1,2,0,1,2,2
"WBGene00000301",925,53,62,133,51,143,127
"WBGene00000302",1233,0,0,0,0,0,0
"WBGene00000308",84,0,0,0,0,0,0
"WBGene00000310",82,0,0,0,0,0,0
"WBGene00000311",82,0,0,0,0,0,0
"WBGene00000366",7132,94,46,180,79,275,248
"WBGene00000367",6419,0,0,0,0,0,2
"WBGene00000368",2089,6,3,11,7,27,18
"WBGene00000369",1311,181,190,133,70,264,230
"WBGene00000370",1066,0,1,0,0,0,1
"WBGene00000371",826,106,183,161,103,320,320
"WBGene00000372",1623,0,0,0,0,0,0
"WBGene00000373",1561,0,0,0,0,0,0
"WBGene00000374",1389,0,0,1,0,2,0
"WBGene00000375",1551,30,22,61,39,103,52
"WBGene00000376",4509,135,90,185,121,236,242
"WBGene00000377",1868,690,582,854,533,1276,1168
"WBGene00000378",1926,557,419,720,470,1206,903
"WBGene00000379",1854,404,323,667,485,983,876
"WBGene00000380",1931,652,592,679,490,1185,1088
"WBGene00000381",1912,338,342,417,380,791,794
"WBGene00000382",1754,111,66,146,90,258,220
"WBGene00000383",3465,175,99,288,201,411,459
"WBGene00000386",2261,282,212,376,254,545,440
"WBGene00000387",2124,36,24,51,27,88,58
"WBGene00000388",1138,182,42,212,47,392,126
"WBGene00000389",953,0,0,0,0,0,0
"WBGene00000390",1346,157,145,216,129,341,331
"WBGene00000391",903,0,0,0,0,0,0
"WBGene00000392",635,70,136,75,76,140,151
"WBGene00000393",2369,27,27,42,44,43,59
"WBGene00000395",10252,7,2,15,4,21,23
"WBGene00000396",13422,213,73,243,180,359,291
"WBGene00000397",4966,1,0,1,1,3,2
"WBGene00000399",4424,0,0,0,0,1,0
"WBGene00000401",2219,0,0,0,0,0,0
"WBGene00000402",5402,0,0,1,0,0,0
"WBGene00000403",3633,19,11,19,13,32,37
"WBGene00000405",1185,504,395,799,390,1251,948
"WBGene00000406",1231,29,42,73,27,74,44
"WBGene00000407",1057,80,99,65,43,179,147
"WBGene00000408",1370,73,69,84,44,165,131
"WBGene00000409",2010,105,39,144,116,226,264
"WBGene00000410",1662,39,41,52,25,106,88
"WBGene00000411",1600,329,205,356,189,582,419
"WBGene00000412",948,0,0,0,0,0,0
"WBGene00000413",2651,15,9,18,14,74,49
"WBGene00000414",1240,11,12,12,13,33,49
"WBGene00000415",4875,44,18,26,22,88,81
"WBGene00000416",1094,98,104,112,60,192,126
"WBGene00000417",2552,37,17,27,13,73,49
"WBGene00000418",1932,61,63,126,72,167,155
"WBGene00000419",5644,104,62,140,104,226,254
"WBGene00000420",1689,86,61,135,93,190,261
"WBGene00000421",5702,201,55,257,174,433,343
"WBGene00000422",1581,25,6,21,11,21,21
"WBGene00000423",1285,23,31,37,18,49,48
"WBGene00000424",1661,2,8,10,5,9,16
"WBGene00000425",4370,0,0,3,1,1,7
"WBGene00000426",2325,91,19,103,61,175,156
"WBGene00000427",412,0,0,0,0,0,0
"WBGene00000428",843,0,0,0,0,0,0
"WBGene00000429",856,0,0,0,0,1,0
"WBGene00000430",600,0,0,0,0,0,1
"WBGene00000431",1795,0,0,1,0,2,1
"WBGene00000432",308,0,0,0,0,0,0
"WBGene00000433",1313,0,0,0,0,0,0
"WBGene00000434",797,0,0,0,0,0,0
"WBGene00000435",1127,0,0,0,1,2,1
"WBGene00000436",604,0,0,0,0,0,0
"WBGene00000437",921,0,0,2,0,0,0
"WBGene00000438",1903,0,0,0,0,0,0
"WBGene00000439",922,1,1,0,1,0,3
"WBGene00000440",914,0,0,0,0,0,0
"WBGene00000441",2543,0,0,0,0,0,0
"WBGene00000442",917,1,2,3,2,5,8
"WBGene00000443",1279,5,3,1,1,2,4
"WBGene00000444",2586,78,54,92,57,157,130
"WBGene00000445",2369,0,0,0,0,0,0
"WBGene00000446",1044,0,0,0,0,0,0
"WBGene00000447",1056,0,0,0,0,1,0
"WBGene00000448",2272,0,0,0,0,0,0
"WBGene00000449",1191,0,0,0,0,0,0
"WBGene00000450",720,0,0,0,0,0,0
"WBGene00000451",1036,0,0,0,0,0,0
"WBGene00000452",1124,0,0,0,0,0,1
"WBGene00000453",1862,0,0,0,0,2,0
"WBGene00000454",880,0,0,0,0,0,0
"WBGene00000455",1110,0,0,0,0,0,2
"WBGene00000457",1167,0,0,2,0,0,0
"WBGene00000458",1489,0,0,1,0,0,0
"WBGene00000459",2873,219,66,222,163,327,322
"WBGene00000460",1834,102,41,143,75,264,154
"WBGene00000461",1181,18,12,22,12,41,45
"WBGene00000462",1386,15,13,18,6,19,16
"WBGene00000463",1054,0,3,3,1,4,2
"WBGene00000464",5061,81,30,158,83,243,172
"WBGene00000465",1889,1897,1707,2226,1686,4973,4748
"WBGene00000466",2194,73,18,136,90,174,188
"WBGene00000467",3278,105,59,127,108,244,248
"WBGene00000468",990,15,14,13,9,26,25
"WBGene00000469",1006,1,0,0,0,1,3
"WBGene00000472",1381,235,239,295,194,575,474
"WBGene00000473",1011,1233,1959,1512,1013,3635,3146
"WBGene00000474",990,670,1081,1194,687,2366,1711
"WBGene00000475",1183,461,447,566,330,1165,931
"WBGene00000476",2229,4,7,23,7,38,12
"WBGene00000477",3881,0,0,0,0,0,0
"WBGene00000478",2075,1,0,1,0,0,3
"WBGene00000479",2273,1055,806,815,448,1580,979
"WBGene00000480",2140,181,98,159,129,273,313
"WBGene00000481",2073,0,0,0,1,0,3
"WBGene00000482",5561,64,32,138,58,155,120
"WBGene00000483",907,0,0,0,0,0,0
"WBGene00000484",2355,0,0,0,0,0,0
"WBGene00000485",12568,1,0,0,0,0,3
"WBGene00000487",1968,0,0,0,0,0,0
"WBGene00000488",2140,0,0,0,0,0,0
"WBGene00000490",4383,0,0,0,1,0,0
"WBGene00000491",4444,1,0,0,0,0,0
"WBGene00000492",1510,0,0,0,0,0,0
"WBGene00000493",3033,0,0,4,0,1,0
"WBGene00000496",4293,20,42,7,47,42,225
"WBGene00000497",5870,0,0,0,0,0,0
"WBGene00000498",1683,133,153,228,157,404,356
"WBGene00000499",2532,1,0,0,0,4,6
"WBGene00000500",1133,61,56,85,62,181,165
"WBGene00000501",1967,0,0,0,0,0,1
"WBGene00000502",1192,51,31,66,65,110,125
"WBGene00000503",2041,38,14,75,20,73,64
"WBGene00000506",1000,45,24,51,32,85,58
"WBGene00000507",1976,71,22,122,79,162,154
"WBGene00000508",2443,14,5,22,17,43,40
"WBGene00000509",1717,47,24,64,50,103,96
"WBGene00000510",2860,0,0,0,0,0,1
"WBGene00000511",1360,0,0,1,1,2,3
"WBGene00000512",1198,18,25,43,29,63,55
"WBGene00000513",1107,0,0,0,0,0,0
"WBGene00000514",1382,7,4,15,13,23,15
"WBGene00000515",1490,0,0,0,0,1,0
"WBGene00000516",809,5,7,4,0,11,6
"WBGene00000517",1478,72,57,31,23,85,67
"WBGene00000518",2136,0,0,0,1,1,0
"WBGene00000519",2109,83,25,128,77,201,173
"WBGene00000520",2269,51,14,113,75,192,141
"WBGene00000521",2300,0,0,0,0,0,0
"WBGene00000522",832,0,0,0,0,0,0
"WBGene00000523",963,0,1,2,0,7,3
"WBGene00000524",874,0,0,3,0,1,4
"WBGene00000525",669,0,0,2,1,0,1
"WBGene00000526",1205,1,0,1,0,5,3
"WBGene00000527",4378,10,7,23,18,33,24
"WBGene00000528",3338,0,0,0,0,1,0
"WBGene00000529",3207,0,0,1,0,0,0
"WBGene00000530",3956,41,30,18,23,39,58
"WBGene00000531",3374,0,0,0,0,0,0
"WBGene00000532",2688,143,67,169,119,243,246
"WBGene00000533",2660,5,0,11,9,23,15
"WBGene00000534",1485,114,132,167,113,324,244
"WBGene00000535",556,0,0,1,0,0,0
"WBGene00000536",740,11,16,9,13,24,24
"WBGene00000537",2809,31,36,47,82,81,121
"WBGene00000539",1580,0,0,0,0,0,0
"WBGene00000540",1395,13,11,29,16,43,23
"WBGene00000541",1374,0,0,0,0,0,0
"WBGene00000542",3129,142,97,145,91,231,197
"WBGene00000543",2551,47,11,56,23,75,69
"WBGene00000544",2378,0,0,0,0,0,1
"WBGene00000545",2306,0,0,4,3,11,9
"WBGene00000546",2069,0,0,0,0,0,0
"WBGene00000547",2499,103,42,131,97,233,158
"WBGene00000548",4948,264,68,333,140,464,297
"WBGene00000549",3345,93,61,62,24,93,41
"WBGene00000550",4405,27,57,43,120,111,282
"WBGene00000551",1677,0,0,0,0,0,0
"WBGene00000552",1484,187,165,188,115,460,372
"WBGene00000553",1742,0,0,0,0,0,0
"WBGene00000554",1170,7,14,18,9,13,16
"WBGene00000555",189,0,0,0,0,0,0
"WBGene00000556",354,0,0,0,0,0,0
"WBGene00000557",443,0,0,0,0,0,0
"WBGene00000558",435,0,0,0,0,0,0
"WBGene00000559",207,0,0,0,0,0,1
"WBGene00000560",462,0,0,0,0,0,0
"WBGene00000561",3318,0,0,1,0,0,0
"WBGene00000562",2881,1,0,3,1,0,1
"WBGene00000563",1959,0,0,0,0,0,0
"WBGene00000564",3142,6,2,4,4,14,10
"WBGene00000565",3154,3,4,1,3,0,1
"WBGene00000566",4270,72,38,108,43,184,89
"WBGene00000567",2141,216,120,248,188,469,490
"WBGene00000583",1633,0,0,0,0,0,0
"WBGene00000584",1192,0,0,0,0,0,0
"WBGene00000585",2205,40,51,70,103,105,190
"WBGene00000591",2929,16,16,23,10,30,24
"WBGene00000592",2121,67,39,71,60,120,108
"WBGene00000593",966,0,0,0,0,0,0
"WBGene00000594",972,0,0,0,0,0,0
"WBGene00000596",1569,0,0,0,0,0,0
"WBGene00000597",921,0,0,0,0,0,0
"WBGene00000598",1020,0,0,0,0,0,0
"WBGene00000599",966,0,0,0,0,0,0
"WBGene00000601",1245,0,0,0,0,0,0
"WBGene00000602",1063,0,0,0,0,0,0
"WBGene00000603",1082,0,0,0,0,0,0
"WBGene00000606",1094,0,0,0,0,0,0
"WBGene00000608",932,0,1,0,0,0,0
"WBGene00000609",994,0,0,0,0,0,0
"WBGene00000610",1011,0,0,0,0,0,0
"WBGene00000611",964,0,0,0,0,0,0
"WBGene00000612",1029,0,0,0,0,0,0
"WBGene00000613",1254,0,0,0,0,0,0
"WBGene00000614",993,0,0,0,0,0,0
"WBGene00000615",926,1,2,1,0,2,2
"WBGene00000616",1037,0,0,0,0,2,0
"WBGene00000617",1054,0,0,0,0,0,0
"WBGene00000618",1380,0,0,0,0,0,0
"WBGene00000620",1081,0,0,0,0,0,0
"WBGene00000621",1020,0,0,0,0,0,0
"WBGene00000622",1133,0,0,0,0,0,0
"WBGene00000623",2791,0,0,0,0,0,1
"WBGene00000624",724,0,0,0,0,0,0
"WBGene00000625",922,0,0,0,0,0,1
"WBGene00000626",912,0,0,0,0,0,0
"WBGene00000627",1356,0,0,0,0,0,0
"WBGene00000628",1269,0,0,0,0,0,1
"WBGene00000629",1052,0,0,0,0,0,0
"WBGene00000630",901,0,0,0,0,0,0
"WBGene00000631",936,0,0,0,0,0,0
"WBGene00000632",465,0,0,0,0,0,0
"WBGene00000633",966,0,0,0,0,0,0
"WBGene00000634",997,0,0,0,0,0,0
"WBGene00000636",1127,0,0,1,0,0,0
"WBGene00000637",986,0,0,0,0,0,0
"WBGene00000638",1023,0,0,0,0,0,0
"WBGene00000639",1221,0,0,0,0,0,0
"WBGene00000640",1360,2,2,6,8,11,13
"WBGene00000641",996,0,0,0,0,0,0
"WBGene00000642",639,0,0,0,0,0,0
"WBGene00000644",1106,0,2,1,1,3,0
"WBGene00000645",1443,0,0,0,0,0,0
"WBGene00000646",1401,0,0,0,0,0,0
"WBGene00000647",1312,0,0,1,0,0,0
"WBGene00000648",921,0,0,0,0,0,0
"WBGene00000649",980,0,0,0,0,0,0
"WBGene00000650",1592,5,1,8,8,17,4
"WBGene00000651",948,0,0,0,0,0,0
"WBGene00000652",1634,0,1,1,0,0,4
"WBGene00000653",1024,0,0,0,0,0,0
"WBGene00000654",1013,0,0,0,0,0,0
"WBGene00000655",905,0,0,0,0,0,0
"WBGene00000656",1040,1,2,0,0,0,0
"WBGene00000657",1025,0,0,0,0,0,0
"WBGene00000658",1106,1,0,1,1,4,4
"WBGene00000659",1052,0,1,0,0,0,0
"WBGene00000660",1037,0,0,0,0,0,0
"WBGene00000661",972,0,0,4,2,1,1
"WBGene00000662",1871,1,0,0,0,0,0
"WBGene00000663",909,0,0,0,0,0,0
"WBGene00000664",987,1,0,0,1,0,0
"WBGene00000665",1131,11,22,11,9,29,26
"WBGene00000666",983,0,0,0,0,0,0
"WBGene00000667",1003,0,0,0,0,0,0
"WBGene00000668",1001,0,0,0,0,0,0
"WBGene00000669",1017,0,0,0,0,0,0
"WBGene00000670",1052,0,0,0,0,0,0
"WBGene00000671",1052,0,0,0,0,0,0
"WBGene00000672",1186,4,0,1,0,3,3
"WBGene00000673",1039,0,0,0,0,0,0
"WBGene00000674",2960,3,1,4,0,6,5
"WBGene00000675",1417,0,0,0,0,0,0
"WBGene00000676",1438,0,0,0,0,0,0
"WBGene00000677",1170,0,0,0,0,0,0
"WBGene00000678",921,0,0,0,0,0,0
"WBGene00000679",953,0,0,0,0,0,0
"WBGene00000680",891,0,0,0,0,0,0
"WBGene00000681",938,0,0,0,0,0,0
"WBGene00000682",983,0,0,0,0,0,1
"WBGene00000683",1145,0,0,0,0,0,1
"WBGene00000684",1018,0,0,0,0,0,0
"WBGene00000685",1425,1,0,0,1,4,1
"WBGene00000687",1097,0,0,3,3,6,1
"WBGene00000688",1024,0,0,0,0,0,0
"WBGene00000689",1300,0,0,0,0,2,1
"WBGene00000690",1877,0,0,0,0,0,0
"WBGene00000691",975,0,0,0,0,0,0
"WBGene00000692",947,0,0,0,0,0,0
"WBGene00000693",870,0,0,0,0,0,0
"WBGene00000694",1035,0,0,0,0,0,0
"WBGene00000695",1196,10,7,6,5,13,9
"WBGene00000696",957,0,0,0,0,0,0
"WBGene00000697",1141,0,0,0,0,4,2
"WBGene00000698",1117,3,1,2,7,4,3
"WBGene00000699",941,0,0,0,0,0,0
"WBGene00000700",951,0,0,0,0,0,0
"WBGene00000701",1237,0,0,0,0,0,0
"WBGene00000702",1352,0,0,0,0,0,0
"WBGene00000703",1246,0,0,0,1,0,0
"WBGene00000704",960,0,0,0,0,0,1
"WBGene00000705",976,0,0,0,0,0,0
"WBGene00000706",831,1,0,0,0,1,1
"WBGene00000707",962,0,0,0,0,0,0
"WBGene00000708",2098,0,0,0,0,0,0
"WBGene00000709",867,0,0,0,0,1,0
"WBGene00000710",1133,0,0,0,0,0,0
"WBGene00000711",846,0,0,0,0,0,0
"WBGene00000712",993,1,0,0,0,0,0
"WBGene00000713",932,0,0,0,0,0,0
"WBGene00000714",991,0,0,0,0,0,0
"WBGene00000715",1031,0,0,0,0,0,0
"WBGene00000716",1020,0,0,0,0,0,0
"WBGene00000717",1009,0,0,0,0,0,0
"WBGene00000718",960,0,0,0,0,0,0
"WBGene00000719",939,0,0,0,0,0,0
"WBGene00000720",1178,0,0,0,0,0,0
"WBGene00000721",991,0,0,0,0,0,0
"WBGene00000722",1044,0,0,0,0,0,0
"WBGene00000723",1008,0,0,0,0,0,0
